Pressure (mbar),Temperature (°C),Growth Time (min),No. of Graphene Layers,H2,CH4,C2H4,Ar,C2H2,Substrate_dim_1,Substrate_dim_2,Substrate_dim_3,Substrate_dim_4
11,15,17,2,16,11,15,8,16,-0.1878384389941662,-0.76288639591491,0.5354043971330265,-0.3099406383403356
11,13,13,2,16,4,16,16,16,0.6040646440003118,-0.6982246046238695,-0.3766399624942318,-0.07570103050131674
11,13,16,2,14,16,12,8,16,0.4118616118109493,-0.2122632306258157,-0.5623202751662411,0.6849162297520341
8,12,15,2,11,3,17,13,8,0.6040646440003118,-0.6982246046238695,-0.3766399624942318,-0.07570103050131674
8,12,15,2,17,15,15,16,16,0.6044898329453994,-0.6979623087619369,-0.376714753139721,-0.07434145667276716
8,3,15,0,14,17,16,13,16,0.6040646440003118,-0.6982246046238695,-0.3766399624942318,-0.07570103050131674
8,13,13,2,14,12,15,16,16,0.6040646440003118,-0.6982246046238695,-0.3766399624942318,-0.07570103050131674
11,13,16,0,3,12,8,5,11,0.6037245958991585,-0.6983457952564375,-0.37719929743784747,-0.07450135949394432
8,12,12,2,11,15,17,7,15,0.6040646440003118,-0.6982246046238695,-0.3766399624942318,-0.07570103050131674
11,11,15,0,14,16,15,1,16,0.6030755348013495,-0.6981897708271368,-0.37840034418908164,-0.07512737686090977
11,13,16,0,14,15,12,1,16,-0.5076089103982802,-0.16837149686429512,-0.05620178161535039,0.8431047342241699
11,12,13,0,14,15,12,1,16,0.24209528936541394,-0.15408101323164117,-0.2730010880078064,0.9182152896653055
11,8,13,0,11,15,17,7,15,0.6040646440003118,-0.6982246046238695,-0.3766399624942318,-0.07570103050131674
11,13,5,1,11,17,17,7,9,-0.629357755924765,-0.21012428528455848,0.5210811635076004,-0.5368715124017693
11,11,12,2,11,17,17,1,8,0.6040646440003118,-0.6982246046238695,-0.3766399624942318,-0.07570103050131674
11,8,16,0,11,15,17,1,15,0.4847050499729075,0.08207483338200118,0.7530160810290155,0.4373688580223576
11,8,16,0,14,15,12,1,16,-0.14750383418118013,0.1275867149668826,0.23291313081190287,0.9527411624156942
11,8,16,0,17,17,15,7,16,0.8537413120269338,-0.05530186777905554,0.34615982487646696,0.3850205854239112
11,15,12,0,17,17,12,7,16,0.10604107988028715,-0.630691649287994,-0.17476482980270294,0.7486257991548547
11,8,16,0,13,15,12,7,17,0.8537413120269338,-0.05530186777905554,0.34615982487646696,0.3850205854239112
8,8,3,0,11,15,17,13,15,0.8431843855686803,0.06753136884418308,0.46716972200426893,0.25735589559528704
8,12,13,0,11,15,17,13,15,0.4118616118109493,-0.2122632306258157,-0.5623202751662411,0.6849162297520341
8,17,13,0,13,17,17,16,16,0.34546173909822986,-0.43208435385722693,-0.7666411536152479,-0.3259150802808783
13,12,12,0,3,17,7,5,16,0.6040646440003118,-0.6982246046238695,-0.3766399624942318,-0.07570103050131674
14,15,13,2,16,11,14,16,17,0.23395826708720588,0.1287903039013941,0.11163983338186162,0.9571902289957877
11,13,3,1,11,10,17,7,14,0.34546173909822986,-0.43208435385722693,-0.7666411536152479,-0.3259150802808783
8,15,12,0,13,11,16,13,16,0.3452369368855356,-0.43180320861204596,-0.7665534752884314,-0.3267311065164483
8,3,12,0,14,17,14,8,16,0.34546173909822986,-0.43208435385722693,-0.7666411536152479,-0.3259150802808783
8,3,13,0,14,17,8,8,11,0.6040646440003118,-0.6982246046238695,-0.3766399624942318,-0.07570103050131674
11,3,9,2,5,3,17,1,8,0.34546173909822986,-0.43208435385722693,-0.7666411536152479,-0.3259150802808783
8,3,13,0,14,3,12,7,16,0.837257295800052,-0.2572180679261651,-0.005705402175811752,0.4825002948682284
16,3,3,1,16,3,16,7,16,0.34458031376823856,-0.4315996921944864,-0.7673340261227053,-0.3258597941068006
13,12,13,2,3,17,9,5,11,0.34546173909822986,-0.43208435385722693,-0.7666411536152479,-0.3259150802808783
8,8,13,0,17,13,17,1,2,0.6040646440003118,-0.6982246046238695,-0.3766399624942318,-0.07570103050131674
8,15,13,0,3,3,8,1,11,0.6040646440003118,-0.6982246046238695,-0.3766399624942318,-0.07570103050131674
17,17,12,0,3,13,7,5,16,0.6040646440003118,-0.6982246046238695,-0.3766399624942318,-0.07570103050131674
8,15,16,2,17,11,16,13,17,0.7341630835590459,0.028112757370438855,-0.09201894793931441,0.6721210849484235
2,15,3,0,11,3,17,7,15,0.8911986923849773,-0.10001071414543876,0.43041383632224417,0.10250208412415077
2,15,12,2,11,4,17,7,15,0.8313853815457468,0.029124964302558086,-0.4860044716750087,0.26786141438867817
8,15,15,2,17,3,15,15,16,0.3652252028019771,-0.6111743046888779,-0.20607485158098895,0.6712746651499628
8,15,13,2,11,3,17,13,17,0.24604402612623782,-0.19668655489728862,-0.9490906836313612,-0.0019001511473117677
13,17,9,0,14,16,14,5,16,0.6040646440003118,-0.6982246046238695,-0.3766399624942318,-0.07570103050131674
13,16,9,1,3,16,8,5,11,0.6040646440003118,-0.6982246046238695,-0.3766399624942318,-0.07570103050131674
13,17,5,0,13,4,12,8,11,-0.6516244936735207,0.6887575333130042,0.11716363886248393,-0.2954170971318602
2,3,15,0,11,3,12,5,2,0.6040646440003118,-0.6982246046238695,-0.3766399624942318,-0.07570103050131674
2,17,17,0,17,4,16,16,16,-0.38772745630430544,-0.27939184174869064,-0.6791565685591747,0.5570942234263379
2,17,17,2,17,15,15,15,16,0.8313853815457468,0.029124964302558086,-0.4860044716750087,0.26786141438867817
14,17,12,2,16,17,15,16,17,-0.7567596124149712,0.11385874186790228,0.6014499798670491,0.2293665137628576
17,15,12,2,16,17,15,13,17,0.34546173909822986,-0.43208435385722693,-0.7666411536152479,-0.3259150802808783
13,17,12,2,3,15,14,8,16,0.6040646440003118,-0.6982246046238695,-0.3766399624942318,-0.07570103050131674
14,15,16,2,14,12,12,13,17,-0.4934411074494219,0.7822260118091733,-0.30045995453600827,-0.2331569335199426
17,17,16,0,13,3,17,1,15,0.25201591777976673,0.09194405918998266,0.1789540784234337,0.94657789166075
13,15,12,2,3,17,2,5,11,-0.15924954166806848,-0.5874285761530544,0.02318234724282483,-0.7931140083075183
10,9,15,2,14,17,17,16,15,0.4118616118109493,-0.2122632306258157,-0.5623202751662411,0.6849162297520341
12,15,11,2,17,15,15,16,16,-0.4848110335001265,0.33889987448531134,-0.5011858622673179,-0.6315994524488955
