CVD Method,Pressure (mbar),Temperature (°C),Growth Time (min),Substrate,No. of Graphene Layers,H2,CH4,C2H4,Ar,C2H2
Hot-Wall,800.0,766.6666667,250.0,Ge/Si wafer,ML,140.0,62.120000000000005,30.0,296.0,7.6530000000000005
Hot-Wall,750.0,1050.0,30.0,Cu,ML,480.8,3.7,30.0,276.0,7.808000000000002
Hot-Wall,1013.25,1070.0,60.0,Ni,3.5,191.3,4.835,30.0,470.0,7.808000000000002
Hot-Wall,26.67,1000.0,5.0,Cu,ML,400.0,200.0,30.0,62.0,19.6
Hot-Wall,13.33,1000.0,4.0,Cu,ML,50.0,6.0,30.0,224.0,7.808000000000002
Hot-Wall,133.3,975.0,1.5,Cu,1,107.6,46.22,30.0,60.0,19.6
Hot-Wall,53.32,1030.0,30.0,Cu,ML,10.0,0.1,30.0,224.0,7.808000000000002
Hot-Wall,1013.25,1060.0,60.0,Cu,1,321.3,0.1,30.0,430.0,7.808000000000002
Hot-Wall,13.33,1020.0,20.0,Cu,ML,200.0,10.0,30.0,72.0,19.6
Hot-Wall,1013.25,1080.0,5.0,Cu,1,10.0,0.5,30.0,800.0,2.8529999999999998
Hot-Wall,1013.25,1040.0,67.5,"In, Ga; Cu",1,12.5,12.5,30.0,450.0,7.808000000000002
Hot-Wall,1013.25,1020.0,35.0,Ga,1,15.0,12.5,30.0,300.0,7.808000000000002
Hot-Wall,1013.25,1100.0,30.0,Cu,1,300.0,7.0,30.0,580.0,7.808000000000002
Hot-Wall,1013.25,1062.5,380.0,Pt3Si/Pt,2,500.0,4.0,30.0,420.0,7.7490000000000006
Hot-Wall,1013.25,1080.0,15.0,Cu,ML,200.0,1.5,30.0,500.0,7.808000000000002
Hot-Wall,1013.0,1120.0,134.0,Cu on W,1,300.0,6.0,30.0,420.0,7.808000000000002
Hot-Wall,1013.0,1120.0,62.5,"Ga, In, Cu",1,15.0,12.5,30.0,300.0,7.808000000000002
Hot-Wall,1013.0,1090.0,75.0,Cu on W or Mo,1,50.0,2.575,30.0,200.0,7.808000000000002
Hot-Wall,1013.0,900.0,15.25,"Ga, In, Sn, In-Cu, Sn-Ni, Sn-Ag-Cu",,50.0,2.575,30.0,200.0,7.808000000000002
Hot-Wall,1013.0,1090.0,90.0,Cu on W or Mo,1,80.0,10.0,30.0,200.0,7.808000000000002
Hot-Wall,607.940404,1120.0,47.5,Cu on W and Mo,1,120.0,6.0,30.0,680.0,19.6
Cold-Wall,27.0,1000.0,30.0,Ni,1,100.0,8.0,30.0,100.0,19.6
Cold-Wall,27.0,600.0,30.0,SiO2/Si,1,80.0,1.0,30.0,144.0,8.808
Cold-Wall,0.0133,1000.0,20.0,Cu,1,0.4,1.4,30.0,232.0,7.808000000000002
Cold-Wall,1.0,775.0,30.0,-,7,24.0,84.52000000000001,30.0,106.0,12.0
Cold-Wall,666.612,1030.0,50.0,SiO2/Si,1.5,201.5,13.0,30.0,316.0,7.808000000000002
Cold-Wall,15.0,750.0,20.0,SiO2/Si,1,60.0,15.0,30.0,90.0,7.808
Cold-Wall,27.0,975.0,20.0,SiO2/Si,1,4.0,1.0,30.0,182.0,7.808000000000002
Cold-Wall,144.0,950.0,30.0,Cu,1,8.0,1.0,30.0,198.0,7.808000000000002
Cold-Wall,1013.0,950.0,10.0,SiO2/Si,2.5,1500.0,25.0,30.0,172.0,7.808000000000002
Cold-Wall,11.0,950.0,33.0,PET,1,10.0,23.0,30.0,120.0,7.808000000000002
Cold-Wall,0.1,930.0,45.0,SiO2/Si,2,20.0,60.0,30.0,140.0,7.808000000000002
Cold-Wall,0.02,1000.0,30.0,SiO2/Si,ML,33.88,138.28,30.0,204.0,19.6
Cold-Wall,7.0,1450.0,30.0,Cu,1,50.0,0.25,30.0,500.0,7.808000000000002
Cold-Wall,93.0,680.0,30.0,Cu,1,0.7,280.0,30.0,10000.0,8.808
MW-PECVD,0.666612,420.0,12.5,Cu,1,62.4,30.8,30.0,2108.3,14.607999999999999
MW-PECVD,10.5,775.0,60.0,Co,ML,50.0,3.9200000000000004,30.0,100.0,7.808000000000002
MW-PECVD,1e-06,725.0,13.76,Al2O3,1,300.0,21.72,30.0,80.0,30.0
MW-PECVD,1e-06,725.0,13.76,SiO2,ML,300.0,21.72,30.0,80.0,30.0
MW-PECVD,17.5,850.0,1.0,Co-Cu,ML,50.0,2.52,30.0,96.0,7.808000000000002
MW-PECVD,30.0,900.0,37.5,"Si(100), SiO2",ML,140.0,60.0,30.0,80.0,19.6
MW-PECVD,0.033330592,425.0,10.0,Cu,1,62.4,30.8,30.0,2108.3,14.607999999999999
MW-PECVD,0.033330592,400.0,10.0,Cu,2,62.4,30.8,30.0,2108.3,14.607999999999999
ECR-PECVD,0.054,650.0,450.0,quartz and silica,1,55.0,103.62,30.0,2114.0,0.225
ECR-PECVD,1.33e-06,914.8,5.0,Cu,,200.0,100.0,30.0,70.0,19.6
ECR-PECVD,1e-06,600.0,150.0,Si,1,50.0,90.8,30.0,2124.0,0.52
ECR-PECVD,1e-06,600.0,150.0,SiO2,ML,50.0,90.8,30.0,2124.0,0.52
RF-PECVD,3.46638,550.0,20.0,"Glass, Si/SiO2 wafers, Cu",ML,20.0,3.0,30.0,20.0,8.808
RF-PECVD,0.5999507,725.0,17.5,SiO2/Si,ML,146.8,2.0,30.0,100.0,14.703999999999999
RF-PECVD,0.01,600.0,15.0,Cu,ML,2.0,10.0,30.0,144.0,8.808
RF-PECVD,1.179903,875.0,75.0,quartz,ML,10.0,0.1,30.0,50.0,7.808000000000002
RF-PECVD,0.533289,625.0,90.0,Ge,1,60.0,40.0,30.0,400.0,8.808
RF-PECVD,0.005466217,800.0,20.0,"Si plane, textured Si wafers",ML,66.8,0.6,30.0,106.0,19.6
HF-PECVD,6.423055366,1600.0,5.0,Ni,ML,97.0,24.75,30.0,440.0,7.808000000000002
HF-PECVD,6e-06,850.0,9.0,glass,ML,50.0,2.52,30.0,96.0,1.0
ICP-PECVD,0.266645,300.0,0.167,Cu/SiO2/Si,2,10.0,102.8,30.0,21.5,2.8529999999999998
ICP-PECVD,1.33322,850.0,30.0415,Cu,1,100.0,1.0,30.0,100.0,19.6
ICP-PECVD,1.33322,850.0,30.0415,Fe2O3 film,ML,100.0,1.0,30.0,100.0,19.6
ICP-PECVD,0.0115,425.0,15.5,Cu,ML,62.4,30.8,30.0,2108.3,14.607999999999999
ICP-PECVD,0.896592927,850.0,2.5415,Cu,1,62.0,5.0,30.0,50.0,19.6
ICP-PECVD,3.5000012201002,850.0,1.0,Cu,1,5.0,5.0,30.0,180.0,7.808000000000002
General,5.5e-06,900.0,30.0,Polycrystalline Cu/Ni film,3.5,199.0,49.62,30.0,102.0,19.6
CVD,364.30336180002,1075.0,30.0,Single-crystal Cu/Ni(111) film (500 nm),2,262.0,22.7,30.0,390.0,7.808000000000002
CVD,53.3289,1075.0,5.0,Large-area single-crystal Cu/Ni(111) foil,2,10.0,1.0,30.0,200.0,7.808000000000002
CVD,0.0533289,1000.0,120.0,Cu foil (200/0-300 nm),5.5,72.8,50.0,30.0,102.0,19.6
CVD,202.856649666,1000.0,45.0,P/Cu foil,5,10.0,45.0,30.0,374.0,7.808000000000002
CVD,0.2,1085.0,10.0,Cu/Ni(111) film (385/115 nm),2,132.4,44.8,30.0,210.0,19.6
CVD,0.2,1085.0,600.0,Cu/Ni(111) film (385/115 nm),2,259.2,26.1,30.0,90.0,17.244999999999997
CVD,7e-06,820.0,11.568299999999999,Ni(111) film (500 nm),2,100.0,21.52,30.0,106.0,19.6
CVD,7e-06,785.0,27.0,Ni(111) film (500 nm),2,126.8,24.52,30.0,90.0,14.645
CVD,0.133322,1000.0,10.0,Cu foil,2,10.0,30.0,30.0,232.0,7.808000000000002
CVD,0.133322,1000.0,10.0,Cu,2,100.0,30.0,30.0,182.0,19.6
CVD,5.8533302,710.0,20.0334,Cu,1.5,0.1,400.0,30.0,2104.3,2.8529999999999998
CVD,26.6645,1050.0,156.0,Cu (111) foil(0.02mm),1.5,250.0,20.0,30.0,100.0,19.6
LPCVD,18.7174582,650.0,145.0,Fe Film,ML,43.14,66.6,30.0,2164.0,12.253
LPCVD,365.76999034,750.0,81.5,Ni foil,ML,88.8,33.519999999999996,30.0,2120.0,14.645
UHVCVD,6.0935430448,550.0,73.0,Ni,1,40.4,66.8,30.0,2164.0,12.253
LPCVD,365.76999034,750.0,81.5,Cu foil,1,88.8,33.519999999999996,30.0,2120.0,14.645
LPCVD,18.7174582,650.0,145.0,Cu foil,1,43.14,66.6,30.0,2164.0,12.253
LPCVD,0.14895490279999998,400.0,9.6334,Cu foil,ML,42.0,66.8,30.0,2108.3,12.253
LPCVD,0.8358311632,490.0,13.6,"Stainless steel, Cu, Ni, CuNi",ML,40.4,66.8,30.0,2108.3,12.253
LPCVD,0.1956177844,300.0,9.6334,Cu foil,1,42.0,66.8,30.0,2108.3,12.253
