Pressure (mbar),C2H4,Growth Time (min),H2,CH4,Ar,C2H2
800.0,30.0,250.0,376.3,5.9,270.0,7.6530000000000005
750.0,30.0,30.0,298.0,12.6,276.0,7.808000000000002
1013.25,30.0,60.0,19.5,49.12,450.0,7.808000000000002
26.67,30.0,5.0,400.0,200.0,62.0,19.6
13.33,30.0,4.0,50.0,6.0,138.3,7.808000000000002
133.3,30.0,1.5,129.6,47.4,60.0,19.6
53.32,30.0,30.0,10.0,0.1,226.0,7.808000000000002
1013.25,30.0,60.0,328.8,0.1,450.0,7.808000000000002
13.33,30.0,20.0,200.0,10.0,260.0,19.6
1013.25,30.0,5.0,10.0,0.5,800.0,2.8529999999999998
1013.25,30.0,67.5,12.5,12.5,450.0,7.808
1013.25,30.0,35.0,15.0,12.5,300.0,7.808000000000002
1013.25,30.0,30.0,300.0,7.0,420.0,2.8529999999999998
1013.25,30.0,380.0,500.0,4.0,420.0,2.853
1013.25,30.0,15.0,200.0,1.5,500.0,7.808
1013.0,30.0,134.0,300.0,6.0,420.0,2.8529999999999998
1013.0,30.0,62.5,15.0,12.5,300.0,7.808000000000002
1013.0,30.0,75.0,50.0,2.575,200.0,7.808000000000002
1013.0,30.0,15.25,50.0,2.575,200.0,7.808000000000002
1013.0,30.0,90.0,80.0,10.0,200.0,7.808
423.91220599999997,30.0,47.5,120.0,6.0,270.0,7.808000000000002
27.0,30.0,30.0,100.0,8.0,100.0,7.808000000000002
27.0,30.0,30.0,80.0,1.0,280.0,7.808000000000002
0.0133,30.0,20.0,0.4,1.4,170.0,7.808000000000002
1.0,30.0,30.0,24.0,13.52,176.0,12.0
666.612,30.0,50.0,201.5,13.0,316.0,7.808
15.0,30.0,20.0,60.0,15.0,154.0,7.808000000000002
27.0,30.0,20.0,4.0,1.0,200.0,7.808000000000002
144.0,30.0,30.0,8.0,1.0,228.0,7.808000000000002
1013.0,30.0,10.0,1500.0,25.0,262.0,7.808
11.0,30.0,33.0,10.0,23.0,120.0,7.808000000000002
0.1,30.0,45.0,20.0,60.0,140.0,7.808
0.02,30.0,30.0,123.4,23.22,154.0,19.6
7.0,30.0,30.0,50.0,0.25,500.0,8.808
93.0,30.0,30.0,0.7,280.0,10000.0,8.808
0.666612,30.0,12.5,23.2,28.619999999999997,144.0,19.6
10.5,30.0,60.0,50.0,9.72,100.0,7.808000000000002
1e-06,30.0,21.759999999999998,300.0,15.52,70.0,30.0
1e-06,30.0,21.759999999999998,300.0,15.52,70.0,30.0
17.5,30.0,1.0,50.0,2.7199999999999998,174.0,7.808000000000002
30.0,30.0,37.5,140.0,60.0,270.0,7.808000000000002
0.033330592,30.0,10.0,143.0,14.219999999999999,48.3,19.6
0.033330592,30.0,10.0,143.0,14.219999999999999,48.3,19.6
0.054,30.0,450.0,55.0,124.34,160.0,0.225
1.33e-06,30.0,5.0,200.0,100.0,70.0,19.6
1e-06,30.0,150.0,50.0,120.42,190.0,0.52
1e-06,30.0,150.0,50.0,120.42,190.0,0.52
3.46638,30.0,20.0,20.0,3.0,20.0,7.808000000000002
0.5999507,30.0,17.5,132.4,2.0,100.0,19.6
0.01,30.0,15.0,2.0,10.0,170.3,7.808000000000002
1.179903,30.0,75.0,10.0,0.1,50.0,7.808000000000002
0.533289,30.0,90.0,60.0,40.0,400.0,8.808
0.005466217,30.0,20.0,124.08,0.6,164.0,19.6
218.800434542,30.0,5.0,104.0,60.5,450.0,7.808000000000002
6e-06,30.0,9.0,50.0,1.92,174.0,1.0
