CVD Method,Pressure (mbar),Temperature (°C),Growth Time (min),Substrate,No. of Graphene Layers,H2,CH4,C2H4,Ar,C2H2,No. of Graphene Layers_orig
Hot-Wall,800.0,766.6666667,250.0,Ge/Si wafer,1.0,580.11,56.903999999999996,30.0,208.4,19.3585,ML
Hot-Wall,750.0,1050.0,30.0,Cu,1.0,570.065,53.44300000000001,30.0,213.2,15.1336,ML
Hot-Wall,1013.25,1070.0,60.0,Ni,1.0,503.755,88.05500000000002,30.0,288.7,21.0994,3.5
Hot-Wall,26.67,1000.0,5.0,Cu,1.0,400.0,200.0,30.0,167.715,21.5694,ML
Hot-Wall,13.33,1000.0,4.0,Cu,1.0,50.0,6.0,30.0,74.73,16.15685,ML
Hot-Wall,133.3,975.0,1.5,Cu,0.0,203.8,144.26,30.0,60.0,26.34225,1
Hot-Wall,53.32,1030.0,30.0,Cu,1.0,10.0,0.1,30.0,161.915,13.26715,ML
Hot-Wall,1013.25,1060.0,60.0,Cu,0.0,509.595,0.1,30.0,288.7,16.373599999999996,1
Hot-Wall,13.33,1020.0,20.0,Cu,1.0,200.0,10.0,30.0,77.0,20.958999999999996,ML
Hot-Wall,1013.25,1080.0,5.0,Cu,0.0,10.0,0.5,30.0,800.0,8.58265,1
Hot-Wall,1013.25,1040.0,67.5,"In, Ga; Cu",0.0,12.5,12.5,30.0,450.0,9.81315,1
Hot-Wall,1013.25,1020.0,35.0,Ga,0.0,15.0,12.5,30.0,300.0,13.382750000000001,1
Hot-Wall,1013.25,1100.0,30.0,Cu,0.0,300.0,7.0,30.0,284.7,16.473599999999998,1
Hot-Wall,1013.25,1062.5,380.0,Pt3Si/Pt,1.0,500.0,4.0,30.0,291.2,15.031899999999998,2
Hot-Wall,1013.25,1080.0,15.0,Cu,1.0,200.0,1.5,30.0,500.0,11.560349999999998,ML
Hot-Wall,1013.0,1120.0,134.0,Cu on W,0.0,300.0,6.0,30.0,237.0,15.158199999999997,1
Hot-Wall,1013.0,1120.0,62.5,"Ga, In, Cu",0.0,15.0,12.5,30.0,300.0,13.28275,1
Hot-Wall,1013.0,1090.0,75.0,Cu on W or Mo,0.0,50.0,2.575,30.0,200.0,11.477349999999996,1
Hot-Wall,1013.0,900.0,15.25,"Ga, In, Sn, In-Cu, Sn-Ni, Sn-Ag-Cu",0.54,50.0,2.575,30.0,200.0,11.591749999999998,
Hot-Wall,1013.0,1090.0,90.0,Cu on W or Mo,0.0,80.0,10.0,30.0,200.0,11.430849999999996,1
Hot-Wall,784.3147176542,1120.0,47.5,Cu on W and Mo,0.0,120.0,6.0,30.0,284.6,14.791049999999998,1
Cold-Wall,27.0,1000.0,30.0,Ni,0.0,100.0,8.0,30.0,100.0,16.173999999999996,1
Cold-Wall,27.0,600.0,30.0,SiO2/Si,0.0,80.0,1.0,30.0,985.0,4.721750000000001,1
Cold-Wall,0.0133,1000.0,20.0,Cu,0.0,0.4,1.4,30.0,5670.0,7.5870999999999995,1
Cold-Wall,1.0,775.0,30.0,-,1.0,24.0,2.385249999999997,30.0,136.7,12.0,7
Cold-Wall,666.612,1030.0,50.0,SiO2/Si,1.0,201.5,13.0,30.0,220.6,16.210949999999997,1.5
Cold-Wall,15.0,750.0,20.0,SiO2/Si,0.0,60.0,15.0,30.0,698.0,6.464450000000003,1
Cold-Wall,27.0,975.0,20.0,SiO2/Si,0.0,4.0,1.0,30.0,2461.2,8.58265,1
Cold-Wall,144.0,950.0,30.0,Cu,0.0,8.0,1.0,30.0,188.815,13.382750000000001,1
Cold-Wall,1013.0,950.0,10.0,SiO2/Si,1.0,1500.0,25.0,30.0,272.245,15.1432,2.5
Cold-Wall,11.0,950.0,33.0,PET,0.0,10.0,23.0,30.0,120.0,11.7454,1
Cold-Wall,0.1,930.0,45.0,SiO2/Si,1.0,20.0,60.0,30.0,140.0,17.32275,2
Cold-Wall,0.02,1000.0,30.0,SiO2/Si,1.0,19.9,2.0209999999999986,30.0,144.215,12.203049999999998,ML
Cold-Wall,7.0,1450.0,30.0,Cu,0.0,50.0,0.25,30.0,500.0,6.8053,1
Cold-Wall,93.0,680.0,30.0,Cu,0.0,0.7,280.0,30.0,10000.0,12.520299999999997,1
MW-PECVD,0.666612,420.0,12.5,Cu,0.0,64.74,27.5125,30.0,925.0,3.128600000000002,1
MW-PECVD,10.5,775.0,60.0,Co,1.0,50.0,19.240749999999988,30.0,100.0,14.774299999999998,ML
MW-PECVD,1e-06,725.0,45.14541499999999,Al2O3,0.0,300.0,80.60300000000001,30.0,97.83,30.0,1
MW-PECVD,1e-06,725.0,43.82,SiO2,1.0,300.0,72.903,30.0,100.33,30.0,ML
MW-PECVD,17.5,850.0,1.0,Co-Cu,1.0,50.0,10.3075,30.0,72.445,15.67685,ML
MW-PECVD,30.0,900.0,37.5,"Si(100), SiO2",1.0,140.0,60.0,30.0,83.715,25.791949999999996,ML
MW-PECVD,0.033330592,425.0,10.0,Cu,0.0,61.81,28.4825,30.0,925.0,2.100949999999999,1
MW-PECVD,0.033330592,400.0,10.0,Cu,1.0,65.21,29.48,30.0,927.0,2.1433999999999993,2
ECR-PECVD,0.054,650.0,450.0,quartz and silica,0.0,55.0,35.891,30.0,844.5,0.225,1
ECR-PECVD,1.33e-06,905.91,5.0,Cu,0.58,200.0,100.0,30.0,72.475,26.54225,
ECR-PECVD,1e-06,600.0,150.0,Si,0.0,50.0,35.201,30.0,844.5,0.52,1
ECR-PECVD,1e-06,600.0,150.0,SiO2,1.0,50.0,36.34,30.0,846.5,0.52,ML
RF-PECVD,3.46638,550.0,20.0,"Glass, Si/SiO2 wafers, Cu",1.0,20.0,3.0,30.0,20.0,15.821,ML
RF-PECVD,0.5999507,725.0,17.5,SiO2/Si,1.0,62.94,2.0,30.0,100.0,15.916249999999998,ML
RF-PECVD,0.01,600.0,15.0,Cu,1.0,2.0,10.0,30.0,5980.5,5.600599999999997,ML
RF-PECVD,1.179903,875.0,75.0,quartz,1.0,10.0,0.1,30.0,50.0,16.63715,ML
RF-PECVD,0.533289,625.0,90.0,Ge,0.0,60.0,40.0,30.0,400.0,4.3145999999999995,1
RF-PECVD,0.005466217,800.0,20.0,"Si plane, textured Si wafers",1.0,27.82,0.6,30.0,129.945,11.975299999999999,ML
HF-PECVD,196.9218679960599,1600.0,5.0,Ni,1.0,90.45,17.10075,30.0,905.0,6.642100000000002,ML
HF-PECVD,6e-06,850.0,9.0,glass,1.0,50.0,32.0085,30.0,659.0,1.0,ML
ICP-PECVD,0.266645,300.0,0.167,Cu/SiO2/Si,1.0,10.0,13.336999999999998,30.0,21.5,15.2662,2
ICP-PECVD,1.33322,850.0,30.0415,Cu,0.0,100.0,1.0,30.0,100.0,16.043999999999997,1
ICP-PECVD,1.33322,850.0,30.0415,Fe2O3 film,1.0,100.0,1.0,30.0,100.0,15.881349999999998,ML
ICP-PECVD,0.0115,425.0,15.5,Cu,1.0,64.31,27.860500000000002,30.0,917.0,2.1865500000000004,ML
ICP-PECVD,0.896592927,850.0,2.5415,Cu,0.0,33.22,5.0,30.0,50.0,17.072749999999996,1
ICP-PECVD,142.1983813522,850.0,1.0,Cu,0.0,5.0,5.0,30.0,180.0,13.25275,1
General,5.5e-06,900.0,30.0,Polycrystalline Cu/Ni film,1.0,28.338,5.400500000000003,30.0,612.0,7.52355,3.5
CVD,234.47048257600014,1075.0,30.0,Single-crystal Cu/Ni(111) film (500 nm),1.0,17.42,1.5507499999999994,30.0,204.5,13.26715,2
CVD,53.3289,1075.0,5.0,Large-area single-crystal Cu/Ni(111) foil,1.0,10.0,1.0,30.0,200.0,13.26715,2
CVD,0.0533289,1000.0,120.0,Cu foil (200/0-300 nm),1.0,55.7,50.0,30.0,583.0,2.688499999999999,5.5
CVD,62.30631060574003,1000.0,45.0,P/Cu foil,1.0,10.0,45.0,30.0,168.83,11.6943,5
CVD,0.2,1085.0,10.0,Cu/Ni(111) film (385/115 nm),1.0,89.22,26.955,30.0,783.5,4.0637500000000015,2
CVD,0.2,1085.0,600.0,Cu/Ni(111) film (385/115 nm),1.0,89.3,29.750749999999996,30.0,716.5,2.7228499999999998,2
CVD,7e-06,820.0,26.446074999999997,Ni(111) film (500 nm),1.0,23.82,1.3992499999999988,30.0,132.945,12.223049999999999,2
CVD,7e-06,785.0,21.87466999999999,Ni(111) film (500 nm),1.0,64.92,28.570500000000003,30.0,645.5,3.8742,2
CVD,0.133322,1000.0,10.0,Cu foil,1.0,10.0,30.0,30.0,671.5,5.9651,2
CVD,0.133322,1000.0,10.0,Cu,1.0,100.0,30.0,30.0,675.0,4.132400000000001,2
CVD,330.5845673187999,918.825,40.9375,Cu,1.0,0.1,400.0,30.0,5797.3,13.922549999999996,1.5
CVD,26.6645,1050.0,37.122085,Cu (111) foil(0.02mm),1.0,250.0,20.0,30.0,100.0,20.58125,1.5
LPCVD,25.914912771441273,650.0,81.885,Fe Film,1.0,62.0,34.26,30.0,880.5,3.0415000000000014,ML
LPCVD,6.831633283850003,750.0,12.717895,Ni foil,1.0,60.43,4.00925,30.0,78.5,16.051049999999996,ML
UHVCVD,47.74747308916457,550.0,118.803,Ni,0.0,58.3,32.766,30.0,880.5,1.6647999999999994,1
LPCVD,38.38734500516838,750.0,24.088500000000003,Cu foil,0.0,52.5,10.960749999999997,30.0,725.5,6.4947,1
LPCVD,103.24940929902584,650.0,88.845,Cu foil,0.0,59.657,33.306,30.0,880.5,3.0618000000000016,1
LPCVD,0.3196013801862577,400.0,77.30667,Cu foil,1.0,62.9,34.35,30.0,849.0,2.0662499999999993,ML
LPCVD,0.24786068202625763,490.0,52.21667,"Stainless steel, Cu, Ni, CuNi",1.0,62.825,31.9225,30.0,894.5,2.1433999999999993,ML
LPCVD,3.4385724761400045,300.0,23.136839999999996,Cu foil,0.0,65.65,16.46,30.0,944.0,4.721750000000001,1
APCVD,3.4385724761400045,200.0,23.136839999999996,Cu foil,0.0,65.65,16.46,30.0,944.0,4.721750000000001,1
LPCVD,45.96660872635155,450.0,85.475,Cu foil,0.0,58.7,33.066,30.0,880.5,3.076550000000002,1
APCVD,45.96660872635155,450.0,85.475,Cu foil,0.0,58.7,33.066,30.0,880.5,3.076550000000002,1
LPCVD,3.3675700145400085,500.0,23.776829999999997,Cu foil,0.0,65.65,16.44,30.0,944.0,4.721750000000001,1
CVD,26.135507137165032,800.0,22.178914999999996,Cu film,1.0,54.84,11.585249999999998,30.0,720.0,6.400150000000001,ML
APCVD,3.4385724761400045,300.0,23.136839999999996,Cu foil,0.0,65.65,16.46,30.0,944.0,4.721750000000001,1
LPCVD,6.831633283850003,750.0,12.717895,Cu foil,1.0,60.43,4.00925,30.0,78.5,16.051049999999996,ML
LPCVD,0.3169349301862577,265.0,77.03501,Cu foil,1.0,62.9,34.35,30.0,849.0,2.0662499999999993,ML
LPCVD,9.3522661297225,525.0,111.295,AuNi film,1.0,56.2,35.285,30.0,849.5,1.6474499999999994,ML
LPCVD,0.3169349301862577,347.5,77.03501,MgO,1.0,62.9,34.35,30.0,849.0,2.0662499999999993,ML
PECVD,47.74723333884458,600.0,118.803,Cu foil,0.0,58.3,32.766,30.0,880.5,1.6647999999999994,1
ICP-CVD,2.6946858659799973,675.0,120.113,"CuNi, AuNi film",1.0,56.0,36.205,30.0,847.5,1.9304499999999987,ML
