CVD Method,Pressure (mbar),Temperature (°C),Growth Time (min),Substrate,No. of Graphene Layers,H2,CH4,C2H4,Ar,C2H2
Hot-Wall,800.0,766.6666667,250.0,Ge/Si wafer,ML,20.0,15.0,125.0,35.0,20.0
Hot-Wall,750.0,1050.0,30.0,Cu,ML,10.0,12.5,20.0,20.0,3.0
Hot-Wall,1013.25,1070.0,60.0,Ni,3.5,15.0,10.0,15.0,10.0,7.5
Hot-Wall,26.67,1000.0,5.0,Cu,ML,400.0,200.0,125.0,200.0,20.0
Hot-Wall,13.33,1000.0,4.0,Cu,ML,50.0,6.0,20.0,35.0,15.0
Hot-Wall,133.3,975.0,1.5,Cu,1,30.0,15.0,30.0,60.0,10.0
Hot-Wall,53.32,1030.0,30.0,Cu,ML,10.0,0.1,15.0,10.0,3.0
Hot-Wall,1013.25,1060.0,60.0,Cu,1,10.0,0.1,12.5,20.0,6.0
Hot-Wall,13.33,1020.0,20.0,Cu,ML,200.0,10.0,30.0,30.0,10.0
Hot-Wall,1013.25,1080.0,5.0,Cu,1,10.0,0.5,10.0,800.0,2.0
Hot-Wall,1013.25,1040.0,67.5,"In, Ga; Cu",1,12.5,12.5,15.0,450.0,15.0
Hot-Wall,1013.25,1020.0,35.0,Ga,1,15.0,12.5,20.0,300.0,15.0
Hot-Wall,1013.25,1100.0,30.0,Cu,1,300.0,7.0,125.0,100.0,60.0
Hot-Wall,1013.25,1062.5,380.0,Pt3Si/Pt,2,500.0,4.0,30.0,30.0,10.0
Hot-Wall,1013.25,1080.0,15.0,Cu,ML,200.0,1.5,125.0,500.0,50.0
Hot-Wall,1013.0,1120.0,134.0,Cu on W,1,300.0,6.0,30.0,15.0,10.0
Hot-Wall,1013.0,1120.0,62.5,"Ga, In, Cu",1,15.0,12.5,12.5,300.0,10.0
Hot-Wall,1013.0,1090.0,75.0,Cu on W or Mo,1,50.0,2.575,20.0,200.0,10.0
Hot-Wall,1013.0,900.0,15.25,"Ga, In, Sn, In-Cu, Sn-Ni, Sn-Ag-Cu",,50.0,2.575,20.0,200.0,30.0
