CVD Method,Pressure (mbar),Gases {Gas: Flow rate (sccm)},Temperature (�C),Growth Time (min),Substrate,No. of Graphene Layers
Hot-Wall,800,"{'Ar': None, 'H2': None}",766.6666667,250,Ge/Si wafer,ML
Hot-Wall,750,"{'CH4': None, 'Ar': None}",1050,30,Cu,ML
Hot-Wall,1013.25,{'n-C6H14': 1},1070,60,Ni,3.5
Hot-Wall,26.67,"{'H2': 400, 'CH4': 200}",1000,5,Cu,ML
Hot-Wall,13.33,"{'H2': 50, 'CH4': 6}",1000,4,Cu,ML
Hot-Wall,133.3,"{'C2H4': 30, 'Ar': 60}",975,1.5,Cu,1
Hot-Wall,53.32,"{'H2': 10, 'CH4': 0.1}",1030,30,Cu,ML
Hot-Wall,1013.25,{'CH4': 0.1},1060,60,Cu,1
Hot-Wall,13.33,"{'H2': 200, 'CH4': 10}",1020,20,Cu,ML
Hot-Wall,1013.25,"{'Ar': 800, 'H2': 10, 'CH4': 0.5}",1080,5,Cu,1
Hot-Wall,1013.25,"{'Ar': 450, 'H2': 12.5, 'CH4': 12.5}",1040,67.5,"In, Ga; Cu",1
Hot-Wall,1013.25,"{'Ar': 300, 'H2': 15, 'CH4': 12.5}",1020,35,Ga,1
Hot-Wall,1013.25,"{'H2': 300, 'CH4': 7}",1100,30,Cu,1
Hot-Wall,1013.25,"{'H2': 500, 'CH4': 4}",1062.5,380,Pt3Si/Pt,2
Hot-Wall,1013.25,"{'Ar': 500, 'H2': 200, 'CH4': 1.5}",1080,15,Cu,ML
Hot-Wall,1013,"{'H2': 300, 'CH4': 6}",1120,134,Cu on W,1
Hot-Wall,1013,"{'Ar': 300, 'CH4': 12.5, 'H2': 15.0}",1120,62.5,"Ga, In, Cu",1
Hot-Wall,1013,"{'Ar': 200, 'CH4': 2.575, 'H2': 50.0}",1090,75,Cu on W or Mo,1
Hot-Wall,1013,"{'Ar': 200, 'CH4': 2.575, 'H2': 50.0}",900,15.25,"Ga, In, Sn, In-Cu, Sn-Ni, Sn-Ag-Cu",
Hot-Wall,1013,"{'Ar': 200, 'CH4': 10, 'H2': 80}",1090,90,Cu on W or Mo,1
