CVD Method,Pressure (mbar),Temperature (°C),Growth Time (min),Substrate,No. of Graphene Layers,H2,CH4,C2H4,Ar,C2H2
Hot-Wall,800.0,766.6666667,250.0,Ge/Si wafer,ML,20.0,15.0,12.0,15.0,5.0
Hot-Wall,750.0,1050.0,30.0,Cu,ML,25.0,0.0,40.0,20.0,5.0
Hot-Wall,1013.25,1070.0,60.0,Ni,3.5,8.0,0.5,24.0,12.0,5.0
Hot-Wall,26.67,1000.0,5.0,Cu,ML,400.0,200.0,200.0,100.0,100.0
Hot-Wall,13.33,1000.0,4.0,Cu,ML,50.0,6.0,15.0,20.0,5.0
Hot-Wall,133.3,975.0,1.5,Cu,1,15.0,2.5,30.0,60.0,10.0
Hot-Wall,53.32,1030.0,30.0,Cu,ML,10.0,0.1,12.0,25.0,5.0
Hot-Wall,1013.25,1060.0,60.0,Cu,1,0.75,0.1,0.5,2.0,0.25
Hot-Wall,13.33,1020.0,20.0,Cu,ML,200.0,10.0,100.0,150.0,75.0
Hot-Wall,1013.25,1080.0,5.0,Cu,1,10.0,0.5,15.0,800.0,6.0
Hot-Wall,1013.25,1040.0,67.5,"In, Ga; Cu",1,12.5,12.5,20.0,450.0,8.0
Hot-Wall,1013.25,1020.0,35.0,Ga,1,15.0,12.5,20.0,300.0,10.0
Hot-Wall,1013.25,1100.0,30.0,Cu,1,300.0,7.0,200.0,150.0,50.0
Hot-Wall,1013.25,1062.5,380.0,Pt3Si/Pt,2,500.0,4.0,150.0,200.0,300.0
Hot-Wall,1013.25,1080.0,15.0,Cu,ML,200.0,1.5,300.0,500.0,150.0
Hot-Wall,1013.0,1120.0,134.0,Cu on W,1,300.0,6.0,100.0,600.0,50.0
Hot-Wall,1013.0,1120.0,62.5,"Ga, In, Cu",1,15.0,12.5,27.5,300.0,7.5
Hot-Wall,1013.0,1090.0,75.0,Cu on W or Mo,1,50.0,2.575,15.0,200.0,5.0
Hot-Wall,1013.0,900.0,15.25,"Ga, In, Sn, In-Cu, Sn-Ni, Sn-Ag-Cu",,50.0,2.575,25.0,200.0,5.0
Hot-Wall,1013.0,1090.0,90.0,Cu on W or Mo,1,80.0,10.0,25.0,200.0,15.0
Hot-Wall,25.0,1120.0,47.5,Cu on W and Mo,1,120.0,6.0,75.0,50.0,80.0
Cold-Wall,27.0,1000.0,30.0,Ni,1,100.0,8.0,50.0,100.0,25.0
Cold-Wall,27.0,600.0,30.0,SiO2/Si,1,80.0,1.0,45.0,20.0,5.0
Cold-Wall,0.0133,1000.0,20.0,Cu,1,0.4,1.4,1.2,0.6,0.8
Cold-Wall,1.0,775.0,30.0,-,7,24.0,18.0,6.0,22.0,12.0
Cold-Wall,666.612,1030.0,50.0,SiO2/Si,1.5,201.5,13.0,48.3,,18.2
Cold-Wall,15.0,750.0,20.0,SiO2/Si,1,60.0,15.0,30.0,80.0,5.0
Cold-Wall,27.0,975.0,20.0,SiO2/Si,1,4.0,1.0,8.0,12.0,5.0
Cold-Wall,144.0,950.0,30.0,Cu,1,8.0,1.0,0.5,15.0,0.3
Cold-Wall,1013.0,950.0,10.0,SiO2/Si,2.5,1500.0,25.0,200.0,500.0,100.0
Cold-Wall,11.0,950.0,33.0,PET,1,10.0,23.0,20.0,120.0,5.0
Cold-Wall,0.1,930.0,45.0,SiO2/Si,2,20.0,60.0,30.0,140.0,5.0
Cold-Wall,0.02,1000.0,30.0,SiO2/Si,ML,0.5,0.8,0.8,1.2,0.3
