CVD Method,Pressure (mbar),Temperature (°C),Growth Time (min),Substrate,No. of Graphene Layers,H2,CH4,C2H4,Ar,C2H2
Hot-Wall,800.0,766.6666667,250.0,Ge/Si wafer,ML,120.5,12.5,30.5,22.4,15.3
Hot-Wall,750.0,1050.0,30.0,Cu,ML,35.2,12.3,30.5,42.3,10.5
Hot-Wall,1013.25,1070.0,60.0,Ni,3.5,85.3,12.34,30.5,15.32,10.5
Hot-Wall,26.67,1000.0,5.0,Cu,ML,400.0,200.0,30.5,2.5,10.5
Hot-Wall,13.33,1000.0,4.0,Cu,ML,50.0,6.0,30.2,3.4,10.5
Hot-Wall,133.3,975.0,1.5,Cu,1,5.3,0.5,30.0,60.0,10.0
Hot-Wall,53.32,1030.0,30.0,Cu,ML,10.0,0.1,30.5,3.5,10.5
Hot-Wall,1013.25,1060.0,60.0,Cu,1,12.3,0.1,30.5,7.25,10.5
Hot-Wall,13.33,1020.0,20.0,Cu,ML,200.0,10.0,30.5,5.2,10.5
Hot-Wall,1013.25,1080.0,5.0,Cu,1,10.0,0.5,30.5,800.0,10.5
Hot-Wall,1013.25,1040.0,67.5,"In, Ga; Cu",1,12.5,12.5,30.12,450.0,10.5
Hot-Wall,1013.25,1020.0,35.0,Ga,1,15.0,12.5,30.5,300.0,10.5
Hot-Wall,1013.25,1100.0,30.0,Cu,1,300.0,7.0,30.15,8.5,10.5
Hot-Wall,1013.25,1062.5,380.0,Pt3Si/Pt,2,500.0,4.0,30.5,23.5,20.5
Hot-Wall,1013.25,1080.0,15.0,Cu,ML,200.0,1.5,30.5,500.0,10.5
Hot-Wall,1013.0,1120.0,134.0,Cu on W,1,300.0,6.0,30.5,8.7,10.5
Hot-Wall,1013.0,1120.0,62.5,"Ga, In, Cu",1,15.0,12.5,30.2,300.0,10.5
Hot-Wall,1013.0,1090.0,75.0,Cu on W or Mo,1,50.0,2.575,30.5,200.0,10.5
Hot-Wall,1013.0,900.0,15.25,"Ga, In, Sn, In-Cu, Sn-Ni, Sn-Ag-Cu",,50.0,2.575,30.15,200.0,10.7
Hot-Wall,1013.0,1090.0,90.0,Cu on W or Mo,1,80.0,10.0,30.5,200.0,10.5
Hot-Wall,950.0,1120.0,47.5,Cu on W and Mo,1,120.0,6.0,30.5,3.5,10.5
Cold-Wall,27.0,1000.0,30.0,Ni,1,100.0,8.0,30.5,100.0,10.5
Cold-Wall,27.0,600.0,30.0,SiO2/Si,1,80.0,1.0,30.5,3.5,10.5
Cold-Wall,0.0133,1000.0,20.0,Cu,1,0.4,1.4,30.5,0.5,10.5
Cold-Wall,1.0,775.0,30.0,-,7,24.0,0.5,30.5,0.5,12.0
Cold-Wall,666.612,1030.0,50.0,SiO2/Si,1.5,201.5,13.0,30.12,3.5,10.5
Cold-Wall,15.0,750.0,20.0,SiO2/Si,1,60.0,15.0,30.5,7.5,10.5
Cold-Wall,27.0,975.0,20.0,SiO2/Si,1,4.0,1.0,30.5,2.5,10.5
Cold-Wall,144.0,950.0,30.0,Cu,1,8.0,1.0,30.5,2.5,10.3
Cold-Wall,1013.0,950.0,10.0,SiO2/Si,2.5,1500.0,25.0,30.5,6.7,10.5
Cold-Wall,11.0,950.0,33.0,PET,1,10.0,23.0,30.5,120.0,10.3
Cold-Wall,0.1,930.0,45.0,SiO2/Si,2,20.0,60.0,30.5,140.0,10.5
Cold-Wall,0.02,1000.0,30.0,SiO2/Si,ML,0.5,0.05,30.5,7.5,10.5
Cold-Wall,7.0,1450.0,30.0,Cu,1,50.0,0.25,30.5,500.0,10.0
Cold-Wall,93.0,680.0,30.0,Cu,1,0.7,280.0,30.5,10000.0,10.5
MW-PECVD,0.666612,420.0,12.5,Cu,1,0.32,0.35,30.5,5.2,10.5
MW-PECVD,10.5,775.0,60.0,Co,ML,50.0,0.5,30.5,100.0,10.5
MW-PECVD,1e-06,725.0,45.0,Al2O3,1,300.0,0.2,30.5,0.5,30.0
MW-PECVD,1e-06,725.0,45.0,SiO2,ML,300.0,0.5,30.5,12.3,30.0
MW-PECVD,17.5,850.0,1.0,Co-Cu,ML,50.0,0.3,30.2,0.45,10.3
MW-PECVD,30.0,900.0,37.5,"Si(100), SiO2",ML,140.0,60.0,30.5,15.2,10.3
MW-PECVD,0.033330592,425.0,10.0,Cu,1,0.5,0.12,30.25,0.5,10.5
MW-PECVD,0.033330592,400.0,10.0,Cu,2,0.5,0.12,30.5,1.2,10.5
ECR-PECVD,0.054,650.0,450.0,quartz and silica,1,55.0,0.15,30.5,3.2,0.225
ECR-PECVD,1.33e-06,,5.0,Cu,,200.0,100.0,30.5,2.5,10.3
ECR-PECVD,1e-06,600.0,150.0,Si,1,50.0,0.05,30.24,2.3,0.52
ECR-PECVD,1e-06,600.0,150.0,SiO2,ML,50.0,0.01,30.5,2.3,0.52
RF-PECVD,3.46638,550.0,20.0,"Glass, Si/SiO2 wafers, Cu",ML,20.0,3.0,30.5,20.0,10.5
RF-PECVD,0.5999507,725.0,17.5,SiO2/Si,ML,0.85,2.0,30.5,100.0,10.3
RF-PECVD,0.01,600.0,15.0,Cu,ML,2.0,10.0,30.3,0.5,10.5
RF-PECVD,1.179903,875.0,75.0,quartz,ML,10.0,0.1,30.5,50.0,10.2
RF-PECVD,0.533289,625.0,90.0,Ge,1,60.0,40.0,30.5,400.0,10.5
RF-PECVD,0.005466217,800.0,20.0,"Si plane, textured Si wafers",ML,0.2,0.6,30.12,0.75,12.3
HF-PECVD,950.0,1600.0,5.0,Ni,ML,45.3,3.2,30.5,12.5,10.5
HF-PECVD,6e-06,850.0,9.0,glass,ML,50.0,0.2,30.2,5.3,1.0
ICP-PECVD,0.266645,300.0,0.167,Cu/SiO2/Si,2,10.0,0.12,30.5,21.5,10.5
ICP-PECVD,1.33322,850.0,30.0415,Cu,1,100.0,1.0,30.15,100.0,10.2
ICP-PECVD,1.33322,850.0,30.0415,Fe2O3 film,ML,100.0,1.0,30.5,100.0,10.5
ICP-PECVD,0.0115,425.0,15.5,Cu,ML,0.5,0.12,30.25,1.23,12.3
ICP-PECVD,0.896592927,850.0,2.5415,Cu,1,0.12,5.0,30.12,50.0,10.23
ICP-PECVD,756.3,850.0,1.0,Cu,1,5.0,5.0,30.5,180.0,10.3
General,5.5e-06,900.0,30.0,Polycrystalline Cu/Ni film,3.5,0.25,0.12,30.5,3.5,10.3
CVD,800.5,1075.0,30.0,Single-crystal Cu/Ni(111) film (500 nm),2,85.3,18.5,30.5,378.5,10.5
CVD,53.3289,1075.0,5.0,Large-area single-crystal Cu/Ni(111) foil,2,10.0,1.0,30.15,200.0,10.0
CVD,0.0533289,1000.0,120.0,Cu foil (200/0-300 nm),5.5,0.25,50.0,30.42,12.73,10.5
CVD,950.0,1000.0,45.0,P/Cu foil,5,10.0,45.0,30.5,73.5,10.5
CVD,0.2,1085.0,10.0,Cu/Ni(111) film (385/115 nm),2,0.5,0.15,30.5,3.5,10.3
CVD,0.2,1085.0,600.0,Cu/Ni(111) film (385/115 nm),2,1.3,0.25,30.5,3.45,10.5
CVD,7e-06,820.0,45.0,Ni(111) film (500 nm),2,0.35,0.15,30.5,3.7,10.5
CVD,7e-06,785.0,45.0,Ni(111) film (500 nm),2,0.5,0.15,30.27,2.5,10.35
CVD,0.133322,1000.0,10.0,Cu foil,2,10.0,30.0,30.2,1.5,10.5
CVD,0.133322,1000.0,10.0,Cu,2,100.0,30.0,30.5,2.5,10.5
CVD,850.0,,45.0,Cu,1.5,0.1,400.0,30.25,7.3,10.45
CVD,26.6645,1050.0,42.0,Cu (111) foil(0.02mm),1.5,250.0,20.0,30.2,100.0,10.3
LPCVD,950.0,650.0,45.0,Fe Film,ML,5.2,14.3,30.5,3.5,10.5
LPCVD,890.3,750.0,45.0,Ni foil,ML,35.2,3.2,30.5,3.5,10.5
UHVCVD,850.0,550.0,45.0,Ni,1,35.2,12.3,30.5,3.2,10.5
LPCVD,980.0,750.0,45.0,Cu foil,1,45.3,5.3,30.5,3.4,10.5
LPCVD,950.0,650.0,45.0,Cu foil,1,25.3,3.2,29.5,78.3,20.5
LPCVD,850.0,400.0,75.0,Cu foil,ML,12.5,23.7,30.5,1750.0,10.5
LPCVD,750.0,490.0,55.0,"Stainless steel, Cu, Ni, CuNi",ML,75.4,4.2,30.5,3.5,10.5
LPCVD,900.0,300.0,45.0,Cu foil,1,10.3,3.4,30.5,5.7,10.5
APCVD,850.0,200.0,45.0,Cu foil,1,125.7,12.3,30.5,25.3,10.3
LPCVD,950.0,450.0,45.0,Cu foil,1,12.3,45.0,30.5,5.3,10.3
APCVD,850.0,450.0,58.3,Cu foil,1,45.3,15.2,30.5,5.2,10.5
LPCVD,850.0,500.0,45.0,Cu foil,1,124.3,12.3,30.5,245.67,10.5
