Item_No,Material_Class,Composition_Formula,Hydrogen_Weight_Percent,Heat_of_Formation_kJperMolH2,Temperature_oC,Pressure_Atmospheres_Absolute,Author_Year,Reference_Number,Comment1,Comment2,Comment3,Original_Composition_Formula
3,A2B,Pr2Al,1.4,-12.5,420.0,1.0,"Semenenko, 1985",1151.0,,(Amorp),,Pr2Al
4,A2B,Ce0.5Th1.5Al1,0.4,133.0,650.0,0.0003,"Van Vucht, 1963",492.0,,,,Th1.5Ce.5Al
5,A2B,Th2Al,0.8,130.0,500.0,0.001,"Van Vucht, 1963",492.0,,,,Th2Al
9,A2B,Ti2Co,0.2,-45.7,450.0,1.2,"Beck, 1962",45.0,,,,Ti2Co
14,A2B,Ti2Cu,1.0,-10.5,500.0,0.02,"Arita, 1979",495.0,,,,Ti2Cu
17,A2B,Ti2Cu,2.2,-14.2,250.0,101.3,"Beck, 1962",45.0,,,,Ti2Cu
18,A2B,Ti2Cu,2.2,130.0,500.0,0.12,"Kadel, 1978",523.0,,,,Ti2Cu (M)
20,A2B,Ti2Fe1O0.3,0.5,-65.2,420.0,1.0,"Mintz, 1980",3.0,,,,Ti2FeO.3
25,A2B,Ti2Ni,2.2,-45.8,550.0,1.0,"Yamanaka, 1975",73.0,,,,Ti2Ni
26,A2B,Ti2Ni,1.6,-75.3,150.0,0.11,"Buchner, 1972",71.0,,,,Ti2Ni (M)
27,A2B,Ti2Ni,1.7,-45.2,450.0,1.0,"Mintz, 1980",3.0,,,,Ti2Ni (M)
28,A2B,Ti2Ni1O0.3,1.1,-15.8,350.0,300.0,"Mintz, 1980",3.0,,,,Ti2NiO.3
30,A2B,Ti2Pd,1.4,90.0,450.0,1.0,"Kadel, 1978",523.0,,,,Ti2Pd
32,A2B,Ti2Cu0.5Pd0.5,85.0,-10.5,350.0,1.2,"Kadel, 1978",523.0,,,,Ti2Pd.5Cu.5
34,A2B,Y2Al,1.4,-15.8,450.0,101.3,"Semenenko, 1985",1151.0,,(Amorp),,Y2Al
38,A2B,Zr2Cu,1.3,144.0,600.0,0.003,"Pebler, 1966",12.0,,,,Zr2Cu (M)
39,A2B,Zr2Cu,1.3,142.0,700.0,0.02,"Kadel, 1979",429.0,,,,Zr2Cu (M)
40,A2B,Zr2Fe,1.7,-118.0,400.0,1.0,"van Essen, 1979",386.0,,,,Zr2Fe
44,A2B,Zr2Ni,1.3,183.0,604.0,0.003,"Pebler, 1966",12.0,,,,Zr2Ni
45,A2B,Zr2Ni,1.3,-45.3,300.0,1.0,"Trzeciak, 1956",483.0,,,,Zr2Ni
49,A2B,Zr2Pd,1.6,-50.2,25.0,0.1,"Spada, 1987",424.0,,,,Zr2Pd
50,A2B,Zr2Pd,1.9,-4.2,20.0,500.0,"Klyamkin, 1994",595.0,,(2000 atm at 20Â°C),,Zr2Pd (M)
59,A2B,Hf2Co,0.7,-45.8,500.0,1.0,"Mukai, 1999",1230.0,,,,Hf2Co
62,A2B,Hf2Co,1.1,-45.2,350.0,5.0,"Beck, 1962",45.0,,,,Hf2Co
63,A2B,Hf2Cu,0.4,-25.4,25.0,1.0,"Mukai, 1999",1230.0,,,,Hf2Cu
66,A2B,Hf2Cu,1.5,-15.2,20.0,1500.0,"Klyamkin, 1994",595.0,,(2000 atm at 20Â°C),,Hf2Cu (M)
72,A2B,Hf2Fe,1.2,-45.2,22.0,1500.0,"Klyamkin, 1997",655.0,,2000 atm at 22Â°C,,Hf2Fe
83,A2B,Hf2Pd,1.0,-45.2,20.0,1000.0,"Klyamkin, 1994",595.0,,(2000 atm at 20Â°C),,Hf2Pd (M)
86,A2B,Hf2Rh,0.5,-28.5,450.0,1.23,"Jones, 1980",430.0,,,,Hf2Rh
87,A2B,Ho2Al,1.2,-35.2,450.0,1.0,"Semenenko, 1985",1151.0,,(Amorp),,Ho2Al
88,A2B,Mg1.5Ni1,2.6,29.1,300.0,3.7,"Kuji, 2002",1492.0,,Ball milled,,Mg1.5Ni
89,A2B,Mg1.75Ni1,2.8,26.6,300.0,4.5,"Kuji, 2002",1492.0,,Ball milled,,Mg1.75Ni
90,A2B,Mg1.75Ti0.25Cu0.25Ni0.75,2.0,-45.8,300.0,2.3,"Yuan, 1999",1229.0,,,,Mg1.75Ti.25Ni.75Cu.25
91,A2B,Mg1.92Al0.08Ni1,3.5,70.5,295.0,4.0,"Hirata, 1983",427.0,,,,Mg1.92Al.08Ni
92,A2B,Mg1.9Al0.1Ni1,3.5,-45.2,250.0,1.0,"Tsushio, 1998",830.0,,,,Mg1.9Al.1Ni
93,A2B,Mg1.9Al0.1Co0.2Ni0.8,7.5,-4.2,250.0,0.42,"Tsushio, 1998",830.0,,,,Mg1.9Al.1Ni.8Co.2
94,A2B,Mg1.9Al0.1Cu0.2Ni0.8,0.45,-15.2,250.0,1.7,"Tsushio, 1998",830.0,,,,Mg1.9Al.1Ni.8Cu.2
95,A2B,Mg1.9Mn0.2Al0.1Ni0.8,4.3,-28.5,250.0,0.95,"Tsushio, 1998",830.0,,,,Mg1.9Al.1Ni.8Mn.2
96,A2B,Mg1.9Ni1B0.1,2.8,-28.5,250.0,0.9,"Tsushio, 1998",830.0,,,,Mg1.9B.1Ni
97,A2B,Ca0.1Mg1.9Cu0.2Ni0.8,1.2,-57.3,250.0,1.4,"Tsushio, 1998",830.0,,,,Mg1.9Ca.1Ni.8Cu.2
98,A2B,Mg1.9Si0.1Ni1,2.9,-15.2,250.0,1.0,"Tsushio, 1998",830.0,,,,Mg1.9Si.1Ni
99,A2B,Mg1.9Ti0.1Ni1,2.9,62.5,300.0,2.5,"Liang, 1999",1226.0,Nanocrystalline,,,Mg1.9Ti.1Ni
100,A2B,Mg1.9Ti0.1Mn0.1Ni0.9,3.1,-45.2,250.0,0.8,"Yuan, 2001",1489.0,,,,Mg1.9Ti0.1Ni0.9Mn0.1
102,A2B,Mg2Co,4.5,76.0,450.0,16.0,"Reiser, 2000",1463.0,Mg2Co not stable without H,,,Mg2Co
103,A2B,Mg2Co,4.2,108.0,418.0,5.7,"Yoshida, 1993",594.0,(Mg2Co phase not stable without H),,,Mg2Co (M)
104,A2B,Mg2Cu,2.6,72.9,295.0,6.0,"Reilly, 1967",87.0,,,,Mg2Cu
106,A2B,Mg2Fe,5.5,77.2,450.0,25.0,"Reiser, 2000",1463.0,Mg2Fe not stable without H,,,Mg2Fe
107,A2B,Mg2Ni,3.1,-20.5,300.0,1.0,"Dehouche, 1998",854.0,Nanocrystalline,,,Mg2Ni
108,A2B,Mg2Ni,3.1,31.3,300.0,3.7,"Kuji, 2002",1492.0,,Ball milled,,Mg2Ni
109,A2B,Mg2Ni,3.2,61.0,250.0,1.1,"Yang, 2002",1493.0,,Ball milling + diffusion synthesis,,Mg2Ni
110,A2B,Mg2Ni,3.3,67.0,300.0,2.2,"Liang, 1999",1226.0,Nanocrystalline,,,Mg2Ni
111,A2B,Mg2Ni,3.3,65.9,300.0,3.2,"Sun, 1999",1228.0,Solid-state synthesized,,,Mg2Ni
112,A2B,Mg2Ni,3.3,63.2,300.0,3.1,"Song, 1998",1224.0,,,,Mg2Ni
113,A2B,Mg2Ni,3.5,64.4,180.0,0.09,"Guthrie, 1998",863.0,Vapor synthesized,Non-twinned,,Mg2Ni
114,A2B,Mg2Ni,3.5,64.4,180.0,0.07,"Guthrie, 1998",863.0,Vapor synthesized,Twinned,,Mg2Ni
115,A2B,Mg2Ni,3.5,68.6,180.0,0.05,"Guthrie, 1998",863.0,Melted,Twinned,,Mg2Ni
116,A2B,Mg2Ni,3.5,-42.5,250.0,1.1,"Tsushio, 1998",830.0,,,,Mg2Ni
117,A2B,Mg2Ni,3.6,64.5,299.0,3.2,"Reilly, 1968",88.0,,,,Mg2Ni
118,A2B,Mg2Ni,3.6,64.6,300.0,2.5,"Lutz, 1977",420.0,,,,Mg2Ni
119,A2B,Mg2Ni,3.6,68.8,180.0,0.06,"Guthrie, 1998",863.0,Melted,Non-twinned,,Mg2Ni
120,A2B,Mg2Ni,3.6,71.3,300.0,2.6,"Li, 2000",1236.0,Hydriding combustion synthesis,,,Mg2Ni
121,A2B,Mg2Ni,3.7,62.2,450.0,57.0,"Reiser, 2000",1463.0,,,,Mg2Ni
122,A2B,Mg2Ni,4.4,-43.0,250.0,60000.0,"Chen, 2002",1491.0,,"P=60,000 atm (LiAlH4 H2 source)",,Mg2Ni
